#,"What range your age is in?","How do you identify your gender?","Do you have any food intolerance, allergy or preference?",Other,"What is your preferred language when attending talks or workshops?","Which of these choices would match better with your current occupation?","How would you rate, in general, the XXL Meetup?","How appropriate was the duration of the talks at the XXL Meetup?","How appropriate was the depth of the talks at the XXL Meetup?","Learning Representations with Deep Learning in Tensorflow","Road Towards Web for Everyone - A11y in a Django Project","Citybikes: a tale of python and bike sharing","How would you rate the XXL Meetup's venue?","How would you rate the XXL Meetup's refreshment?","How would you rate, in general, the PyDay event?","How appropriate was the duration of the workshops at the PyDay?","How appropriate was the depth of the workshops at the PyDay?","Python Programming Introduction Course","Introduction to Jupyter","Introduction to Web Development with Django",Testing,"Serverless deployment in AWS with Zappa","Asyncio from the theory to the practice","Workshop on MondoDB with Python","How would you rate the PyDay's venue?","How would you rate the PyDay's lunch and coffee breaks?","How would you rate the whole event's web and the information provided there?","Are there any subjects you would like to hear about at future events?","Are there any speakers, companies or organizations that you would like to have present at a future events?","How did you hear of this event?",Other,"Do you have any other comment to share with us?","Start Date (UTC)","Submit Date (UTC)","Network ID"
239d9947655d09dc880c47d1af6cbd0e,"20 to 30 years old",Male,None,,English,Student,5,0,4,4,3,5,4,4,5,,,,,,,,,,,,4,,,"From email at PyBCN's mailing list",,,"2016-09-28 07:21:52","2016-09-28 07:25:20",6b6c8f6c80
4e642188fafbf474b7b6334d12ca2ea8,"20 to 30 years old",Non-binary,None,,Spanish,"Science related",6,0,3,,,,,,6,0,3,5,,,,,,,5,5,5,"more event like this ","I missed other fields like humanities or social sciences ","From email at PyLadies BCN mailing list",,"Thank you very much for the organization!! Really amazing!   ","2016-09-28 07:47:31","2016-09-28 07:52:37",5081a1d08c
ec83794f30e9fae7bfccc39887aa678d,"20 to 30 years old",Male,None,,English,"Science related",4,4,3,4,3,5,4,4,,,,,,,,,,,,,,,,"From email at PyBCN's mailing list",,,"2016-09-28 07:50:58","2016-09-28 07:54:05",335bec9710
3fd4aea897903ecbed85a7094231273a,"20 to 30 years old",Male,None,,English,"IT related",,,,,,,,,6,0,4,,,,4,2,5,,4,4,5,,,Colleague/Friend,,"Better wifi next time please :)","2016-09-28 08:14:18","2016-09-28 08:17:09",a8845ea34d
68e69ad39e7f22d39b22307c58c75ee5,"31 to 40 years old",Male,None,,Catalan,"Science related",,,,,,,,,,,,,,,,,,,,,4,,,"From email at PyBCN's mailing list",,,"2016-09-28 08:30:13","2016-09-28 08:32:42",65dc016138
1dc12408da7ecf15cf693b880abe5ef1,"20 to 30 years old",Male,None,,Spanish,Other,3,2,4,3,2,,,,4,2,3,,,2,3,4,,,4,5,4,,,Colleague/Friend,,,"2016-09-28 08:51:28","2016-09-28 08:57:30",faeeb111a3
e53a8184f718de4a7f117f0c37231e4a,"31 to 40 years old",Male,None,,English,"Science related",5,3,4,5,1,5,5,5,,,,,,,,,,,,,4,"Natural Language Processing
Chatbots",,"From email at PyBCN's mailing list",,"Thanks a lot for preparing all meetups!","2016-09-28 09:17:50","2016-09-28 09:24:39",25bd1b8df4
ffa26d30448d3bbed30061540212061d,"20 to 30 years old",Male,None,,English,"IT related",5,5,5,2,3,5,4,3,,,,,,,,,,,,,,,,"From email at PyBCN's mailing list",,,"2016-09-28 09:29:02","2016-09-28 09:31:35",18a2ef1f1b
771e70ce76d54076763d8fa985c1328e,"41 to 50 years old",Female,None,,English,"IT related",3,3,3,5,5,5,4,3,2,3,2,,,,4,1,4,1,3,4,4,"initiation workshop about scipy, opencv
security","Nuriaaaaaaaa !!
:-P
the guys from Skyscanner again please.","From email at PyBCN's mailing list",,"a microphone would be great in some case
please consider a local server with alocal repository for the workshop. That would be awesome.","2016-09-28 10:31:54","2016-09-28 10:39:00",ae0268c3d1
585d796f5db8bf7515004094de939855,"31 to 40 years old",Male,None,,Catalan,"IT related",5,3,3,3,4,5,5,3,5,3,3,,,,4,3,3,3,3,4,4,"python and graphics/gaming (pyopengl/pygame/cocos/kiwi...)",,"From email at PyBCN's mailing list",,,"2016-09-28 12:32:32","2016-09-28 12:36:56",4082970401
